GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Kasım;;2021/03;2.31;0.32;İdari Takip;;9;2.63
GRUP 2;Eylül;;2021/07;29415.6;1021.95;İdari Takip;;23;30437.55
GRUP 2;Mayıs;;2021/05;21400.27;130.37;İdari Takip;;27;21530.64
GRUP 2;Haziran;;2021/06;55249.37;529.49;İdari Takip;;30;55778.86
GRUP 2;Eylül;;2021/05;7699.26;563.55;İdari Takip;;13;8262.81
GRUP 2;Ekim;;2021/06;2576.39;183.01;İdari Takip;;25;2759.4
GRUP 2;Eylül;;2021/08;102130.25;1761.76;İdari Takip;;29;103892.01
GRUP 2;Aralık;;2021/10;97547.83;2441.77;İdari Takip;;6;99989.6
GRUP 2;Eylül;;2021/08;141986.17;2035.41;İdari Takip;;23;144021.58
GRUP 2;Aralık;;2021/07;11894.52;997.47;İdari Takip;;6;12891.99
GRUP 2;Kasım;;2021/10;2322240.17;4044.09;İdari Takip;;3;2326284.26
GRUP 2;Aralık;;2021/09;16215.48;578.87;İdari Takip;;1;16794.35
GRUP 2;Eylül;;2021/07;34300.1;1104.63;İdari Takip;;14;35404.73
GRUP 2;Aralık;;2021/11;642574.53;3167.4;İdari Takip;;14;645741.93
GRUP 2;Temmuz;;2021/02;8584.87;1294.43;Yasal Takip;;13;9879.3
GRUP 2;Ağustos;;2020;944.2;255.1;Yasal Takip;;8;1199.3
GRUP 2;Ocak;;2018;17658.23;9845.18;Yasal Takip;;22;27503.41
GRUP 2;Kasım;;2021/01;12194.09;2387.71;Yasal Takip;;2;14581.8
GRUP 2;Mayıs;;2020;38329.65;3207.86;Yasal Takip;2021;6;41537.51
GRUP 2;Aralık;;2021/01;10929.45;1845.37;Yasal Takip;;6;12774.82
GRUP 2;Ağustos;;2015;8168.3;38.54;Yasal Takip;;25;8206.84
GRUP 2;Ağustos;;2021/03;33637.76;2114.81;Yasal Takip;;18;35752.57
GRUP 2;Kasım;;2021/03;15506.13;1698.17;Yasal Takip;;23;17204.3
GRUP 2;Kasım;;2021/05;19215.76;1928.27;Yasal Takip;;17;21144.03
GRUP 2;Ekim;;2021/06;23320.86;1469.33;İdari Takip;;5;24790.19
GRUP 2;Aralık;;2021/07;510.74;38.76;Yasal Takip;;11;549.5
GRUP 2;Temmuz;;2021/05;24813.13;856.88;İdari Takip;;27;25670.01
GRUP 2;Ekim;;2020;751.57;231.39;İdari Takip;;13;982.96
GRUP 2;Şubat;;2021/01;3618.53;63.99;İdari Takip;;27;3682.52
GRUP 2;Mart;;2021/03;12695.79;36.72;İdari Takip;;27;12732.51
GRUP 2;Mayıs;;2021/03;64524.24;1890.55;İdari Takip;;24;66414.79
GRUP 2;Mart;;2021/03;160432.8;752.05;İdari Takip;;25;161184.85
GRUP 2;Ağustos;;2021/04;7774.42;539.5;İdari Takip;;6;8313.92
GRUP 2;Ekim;;2021/04;40.33;3.93;İdari Takip;;5;44.26
GRUP 2;Eylül;;2021/07;113.63;4.37;İdari Takip;;25;118
GRUP 2;Nisan;;2021/07;1000;0;İdari Takip;;14;1000
GRUP 2;Eylül;;2021/07;14248.2;713.87;İdari Takip;;8;14962.07
GRUP 2;Aralık;;2021/11;148998.93;1499.26;İdari Takip;;16;150498.19
GRUP 2;Kasım;;2021/06;3826.2;173.8;İdari Takip;;29;4000
GRUP 2;Haziran;;2017;3077.38;1551.16;Yasal Takip;;4;4628.54
GRUP 2;Ocak;;2017;613.5;567.59;Yasal Takip;;24;1181.09
GRUP 2;Ocak;;2020;12024.73;1162.34;İdari Takip;2021;14;13187.07
GRUP 2;Mart;;2021/03;628.79;0;Yasal Takip;;31;628.79
GRUP 2;Ekim;;2014;31592.35;2037.42;Yasal Takip;;25;33629.77
GRUP 2;Ekim;;2019;1776.32;2786.19;Yasal Takip;;30;4562.51
GRUP 2;Mart;;2021/02;1994.42;52.19;Yasal Takip;;29;2046.61
GRUP 2;Ekim;;2014;2203.61;841.13;Yasal Takip;;7;3044.74
GRUP 2;Ağustos;;2021/01;18390.58;2476.2;Yasal Takip;;19;20866.78
GRUP 2;Temmuz;;2016;7604.08;2531.64;Yasal Takip;;12;10135.72
GRUP 2;Kasım;;2021/03;22885.43;3475.4;Yasal Takip;;26;26360.83
GRUP 2;Kasım;;2021/04;2027.9;12.77;Yasal Takip;;14;2040.67
GRUP 2;Ağustos;;2021/04;2045.35;149.32;İdari Takip;;20;2194.67
GRUP 2;Eylül;;2021/04;6403.51;652.85;Yasal Takip;;25;7056.36
GRUP 2;Kasım;;2020;2261.3;630.68;İdari Takip;;15;2891.98
GRUP 2;Eylül;;2020;481.57;118.38;İdari Takip;;10;599.95
GRUP 2;Ocak;;2021/01;11204.1;6.41;İdari Takip;;15;11210.51
GRUP 2;Ekim;;2020;8838.4;2253.01;İdari Takip;;18;11091.41
